MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AF50 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A50 | ast.c:613
FREE t @ 0000016CB719AF50 | ast.c:613
MALLOC sizeof(FunctionDef) (80) @ 0000016CB71A5140 | ast.c:616
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B00 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B00 | ast.c:645
FREE t @ 0000016CB719AFB0 | ast.c:645
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B70 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AD30 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B70 | ast.c:654
FREE t @ 0000016CB719AD30 | ast.c:654
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B00 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AE70 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B00 | ast.c:658
FREE t @ 0000016CB719AE70 | ast.c:658
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AD0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
MALLOC strlen(t->string) + 1 (4) @ 0000016CB71A2A40 | ast.c:213
FREE (t)->string @ 0000016CB71A2AD0 | ast.c:226
FREE t @ 0000016CB719ADD0 | ast.c:226
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B70 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ACD0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B70 | ast.c:508
FREE t @ 0000016CB719ACD0 | ast.c:508
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B00 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB7199E70 | ast.c:395
FREE (t)->string @ 0000016CB71A2B00 | ast.c:397
FREE t @ 0000016CB719AFB0 | ast.c:397
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AD0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AD50 | tokens.c:136
